,word
0,prime
1,british
2,minister
3,remain
4,britain
5,e.u.
6,leave
7,referendum
8,european
9,people
10,campaign
11,union
12,mister
13,mean
14,conservative
15,party
16,europe
17,political
18,u.k.
19,jo
20,cox
21,leader
22,economy
23,vote
24,better
25,parliament
26,target
27,brussels
28,downing
29,street
30,twenty
31,even
32,good
33,idea
34,message
35,member
36,killing
37,campaigning
38,claim
39,government
40,final
41,smith
42,lead
43,ten
44,long
45,why
46,renegotiation
47,debate
48,hours
49,didn't
50,public
51,course
52,back
53,campaigns
54,stronger
55,world
56,together
57,opposition
58,days
59,leaving
60,t.v.
61,case
62,economic
63,leaders
64,again
65,issue
66,wink
67,focus
68,pretty
69,nigel
70,farage
71,politically
72,question
73,try
74,migration
75,labour
76,never
77,something
78,immigration
79,insisted
80,sought
81,third
82,clear
83,here
84,isn't
85,news
86,steve
87,assistant
88,right
89,sides
90,voters
91,reform
92,deal
93,number
94,brings
